gx,gy,gz,acx,acy,acz,time,,,,,,,,,,,,,,,,,,,
16.97,-30.76,27.16,0.74,-0.72,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
15.69,-17.52,38.64,0.5,-0.47,0.28,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
51.15,-47.49,7.57,1.14,-0.58,0.11,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
48.46,-42.42,25.51,0.53,-0.56,0.24,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
63.35,-40.41,2.75,0.7,-0.62,0.34,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
36.19,-19.53,-18.55,0.74,-0.83,0.59,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
1.53,-61.77,-14.47,0.82,-0.89,0.29,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-34.3,-60.85,6.77,0.41,-0.6,0,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
12.94,-26.43,-21.3,0.29,-0.77,0.19,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
65.55,15.2,12.08,0.59,-0.68,0.4,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-5.13,-91.98,21.12,0.3,-0.55,0.47,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
25.27,28.02,19.59,0.85,-1,0.44,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
5.86,-108.34,12.21,0.1,-0.78,0.28,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-0.61,18.31,10.99,0.87,-0.64,0.23,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
24.23,-51.39,21,0.44,-0.54,0.16,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
30.15,33.2,-3.23,0.52,-0.84,0.43,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-65.86,-18.74,-15.2,1.19,-1.03,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-63.42,-41.99,3.05,0.15,-0.61,0.08,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-45.35,18.01,-86.61,-0.01,-0.82,0.21,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
15.08,110.96,-117,0.1,-0.82,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
40.95,58.29,-188.9,0.33,-1.15,0.4,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
26.98,38.27,-147.09,0.16,-1.45,0.58,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
3.66,103.64,9.46,0.33,-0.61,0.29,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-16.05,-98.82,80.44,0.29,-1.12,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-31.62,17.76,129.15,0.03,-0.95,0.32,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-28.99,16.72,102.54,0.18,-1.01,0.31,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
5.92,-42.79,39.06,0,-1.08,0.38,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
36.44,-61.89,-25.57,0.07,-0.64,0.29,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
41.02,-36.19,-57.86,0.04,-1.07,0.34,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
21.55,90.45,-66.53,0.1,-0.84,0.28,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
37.05,64.82,-41.75,0.23,-0.91,0.41,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
28.87,-58.9,-37.41,0.33,-1.39,0.66,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-47.3,5.43,43.09,0,-0.72,0.34,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-65.25,-7.45,50.6,0.32,-1.14,0.34,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-61.34,-22.71,40.53,0.01,-0.83,0.18,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-22.28,86.73,47.3,0.14,-0.93,0.18,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
45.35,-14.4,-20.81,0.27,-1.06,0.3,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
71.96,-169.62,-41.2,0.05,-0.64,0.52,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
24.11,27.16,-33.81,-0.26,-1.12,0.45,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-18.8,159.12,-30.88,0.18,-0.75,0.24,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
17.4,5.55,-23.56,0.2,-0.75,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
32.71,-117.49,-30.03,0.34,-1.47,0.65,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-45.59,-24.54,40.89,-0.11,-0.73,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-69.09,59.75,66.28,0.28,-1.17,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-62.19,17.76,46.2,0.07,-0.86,0.19,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-1.77,32.9,48.4,0.17,-0.77,0.23,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
59.75,-48.58,-42.11,0.22,-0.93,0.27,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
90.52,-154.72,-77.51,0.13,-1.1,0.57,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
26.06,-10.01,0.92,-0.16,-1.03,0.28,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-29.85,185.85,-13.92,0.14,-0.83,0.32,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-7.08,63.05,-3.42,0.3,-0.77,0.33,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
25.57,-53.1,-9.58,0.21,-0.98,0.43,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-10.86,-67.75,-26.79,0.06,-1.07,0.48,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-34.97,14.4,61.77,0.1,-0.99,0.32,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-53.22,-30.82,21.97,0.12,-0.84,0.24,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-31.92,46.2,31.92,0.11,-0.82,0.2,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
19.96,35.58,20.26,0.19,-0.98,0.29,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
69.58,-93.51,-37.9,0.17,-1.18,0.53,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
28.81,-34.24,-21.48,-0.12,-0.69,0.31,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-17.27,87.77,-28.2,0.12,-1.04,0.44,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-16.66,123.29,0.31,0.15,-0.74,0.24,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
28.5,20.14,-19.17,0.24,-0.73,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
35.83,-138.06,-46.39,0.2,-1.56,0.67,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-43.33,29.6,38.57,-0.11,-0.63,0.29,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-58.78,61.4,37.48,0.37,-1.06,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-47.06,-31.43,17.4,0.06,-0.81,0.19,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
2.56,23.01,28.81,0.17,-0.84,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
39,-49.8,-7.08,0.19,-1,0.39,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
43.4,-49.56,-12.51,-0.03,-0.9,0.6,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
0.67,26.55,8.73,0.01,-0.93,0.27,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-22.4,133.79,-49.56,0.16,-0.76,0.3,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
22.58,43.27,-40.77,0.31,-0.86,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
39.06,-85.08,-29.24,0.16,-1.04,0.49,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-9.64,-28.38,-2.32,0.02,-1.07,0.52,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-37.48,16.48,74.16,0.16,-0.9,0.32,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-51.82,-79.71,15.99,0.14,-0.95,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-36.74,7.08,27.95,0.08,-0.82,0.19,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
5.68,41.38,34.06,0.14,-0.93,0.21,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
73.61,-89.84,-23.5,0.15,-1.15,0.58,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
14.53,13.67,-11.35,-0.29,-1,0.44,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-45.47,122.13,-26.12,0.14,-0.84,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
14.1,7.2,-7.14,0.18,-0.75,0.32,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
56.15,-47.49,-31.56,0.27,-1.41,0.54,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-3.85,-29.54,7.2,-0.13,-0.72,0.41,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-49.99,-7.14,8.54,0.26,-1.04,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-31.98,92.1,29.11,0.09,-0.81,0.19,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
37.41,-2.32,-7.75,0.29,-0.98,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
58.23,-161.62,-41.87,-0.03,-1.26,0.62,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-28.81,95.34,-29.05,0.15,-1.12,0.39,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-21.48,129.7,-12.63,0.17,-0.68,0.2,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
31.68,-17.03,-3.05,0.21,-0.84,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
47.85,-65.19,-17.52,0.17,-1.12,0.55,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-6.84,-36.56,-4.21,0.04,-0.89,0.5,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-44.01,0.37,42.79,0.1,-1.01,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-59.69,18.19,22.64,0.09,-0.85,0.22,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-6.23,32.78,46.63,0.18,-0.78,0.17,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
45.17,-35.03,-27.77,0.2,-0.96,0.31,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
61.95,-135.44,-23.13,0.03,-1.18,0.69,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
1.4,-21.91,14.77,-0.09,-0.78,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-43.7,55.54,-22.28,0.04,-0.96,0.41,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-1.53,80.75,18.13,0.22,-0.78,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
43.15,-65.8,-7.57,0.18,-0.77,0.38,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
35.46,-101.5,-17.76,0.06,-1.39,0.61,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-18.43,16.36,29.11,0,-0.75,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-31.07,-17.15,9.95,0.35,-1.12,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-50.54,-68.54,-5.13,0.02,-0.89,0.2,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-12.7,75.44,51.09,0.12,-0.83,0.2,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
37.48,-38.27,17.52,0.26,-0.86,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
78.92,-135.56,2.14,0.16,-1.14,0.53,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
37.48,-99.79,29.79,-0.14,-0.75,0.6,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-41.63,23.25,-23.86,0.05,-0.99,0.44,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-70.56,96.62,-22.09,0.06,-0.98,0.3,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-7.81,54.87,38.82,0.25,-0.73,0.15,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
52,-73.43,-13.79,0.26,-0.8,0.23,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
58.72,-177.73,27.4,0.05,-1.18,0.49,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
5.31,-34.91,54.99,0.06,-0.9,0.48,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-17.03,-84.78,0.55,0.2,-0.9,0.34,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-39.12,-115.3,-58.04,0.27,-1.17,0.3,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-45.59,32.59,35.58,0.04,-0.89,0.16,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
4.39,90.39,67.93,0.34,-0.9,0.13,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
52.67,-116.94,40.83,0.33,-0.99,0.18,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
46.88,-245.18,134.28,0.07,-1.33,0.46,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-39.25,-50.17,90.76,-0.09,-0.68,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-7.81,-4.52,-32.53,0.13,-1.01,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
18.62,-35.28,-20.87,0.03,-0.76,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
53.96,24.84,-46.26,0.14,-0.87,0.39,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
59.33,-80.02,-34.36,0.09,-0.92,0.55,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
27.04,6.9,2.32,-0.02,-1.11,0.54,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-17.58,35.28,-6.59,0.18,-1.02,0.48,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-35.95,-5.31,51.27,0.1,-0.86,0.33,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-32.35,-83.98,18.13,0.17,-1.03,0.31,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-38.57,3.6,35.52,-0.07,-0.84,0.25,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
5.74,66.53,34.12,0.24,-0.88,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
51.45,-96.01,-40.65,0.08,-1.03,0.46,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
52.8,-41.56,-31.98,-0.01,-0.6,0.51,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-2.93,24.17,-31.37,-0.01,-1.17,0.44,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-24.66,139.4,17.76,0.11,-0.75,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
10.74,38.82,24.29,0.21,-0.77,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
41.93,-94.12,-23.5,0.14,-1.31,0.6,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-28.5,6.23,8.79,0.01,-0.77,0.37,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-54.2,21.73,14.65,0.24,-1.13,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-52.67,24.23,24.29,0.05,-0.8,0.2,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-1.65,52.67,51.21,0.17,-0.78,0.23,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
41.63,-39.67,-21.79,0.18,-0.91,0.35,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
67.38,-120.85,-38.51,0,-1.32,0.66,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
10.19,-13.49,5.49,-0.07,-0.72,0.29,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-26.43,66.41,-32.71,0.04,-0.99,0.4,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-5.37,125.98,-11.54,0.19,-0.75,0.27,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
36.38,-67.44,-19.78,0.17,-0.8,0.42,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
25.15,-44.07,-13.79,0.08,-1.42,0.64,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-39.31,4.33,52.98,0,-0.74,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-37.84,-3.66,49.38,0.3,-1.06,0.36,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-39.12,-76.42,15.75,0.01,-0.84,0.23,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
-19.65,56.88,39.37,0.06,-0.81,0.26,28/3/2022 9:17,,,,,,,,,,,,,,,,,,,
